service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72889,1,1,1,1,1,0,0,20160601,20190101
72890,0,0,0,0,0,1,0,20160601,20190101
72891,0,0,0,0,0,0,1,20160601,20190101
72892,0,0,0,0,0,1,0,20160601,20190101
72893,1,1,1,1,1,0,0,20160601,20190101
72894,0,0,1,0,0,0,0,20181126,20181221
72895,1,1,1,1,1,0,0,20181126,20181221
72896,1,1,0,1,1,0,0,20181126,20181221
72897,0,0,1,0,0,0,0,20180820,20181116
74352,1,1,1,1,1,0,0,20180820,20181116
74353,1,1,0,1,1,0,0,20180820,20181116
74354,1,1,1,1,1,0,0,20170501,20190101
74355,0,0,0,0,0,0,0,20181112,20181123
74356,0,0,0,0,0,0,0,20180903,20190101
74357,0,0,0,0,0,0,0,20181112,20181123
