service_id,date,exception_type
72889,20190101,2
72889,20181231,2
72889,20181225,2
72889,20181123,2
72889,20181122,2
74355,20181123,1
74355,20181112,1
74356,20190101,1
74356,20181231,1
74356,20181225,1
74356,20181224,1
74356,20181122,1
74356,20180903,1
74357,20181123,1
74357,20181112,1
72893,20190101,2
72893,20181231,2
72893,20181225,2
72893,20181224,2
72893,20181123,2
72893,20181122,2
72893,20180903,2
72895,20190101,2
72895,20181231,2
72895,20181225,2
72895,20181224,2
72895,20181123,2
72895,20181122,2
72895,20181112,2
72895,20180903,2
72896,20190101,2
72896,20181231,2
72896,20181225,2
72896,20181224,2
72896,20181123,2
72896,20181122,2
72896,20181112,2
72896,20180903,2
74352,20190101,2
74352,20181231,2
74352,20181225,2
74352,20181224,2
74352,20181123,2
74352,20181122,2
74352,20181112,2
74352,20180903,2
74353,20190101,2
74353,20181231,2
74353,20181225,2
74353,20181224,2
74353,20181123,2
74353,20181122,2
74353,20181112,2
74353,20180903,2
74354,20190101,2
74354,20181231,2
74354,20181225,2
74354,20181224,2
74354,20181123,2
74354,20181122,2
74354,20181112,2
74354,20180903,2
