route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"30Z","WC",30Z,Hercules Transit Center - Martinez,"",3,"http://www.westcat.org/schedules/route30Zcs.html","426656","ffffff"
"JL","WC",JL,Hercules Transit Center - Pinole - Richmond - BART,"",3,"http://www.westcat.org/schedules/routeJcs.html","ce413d","000000"
"JX","WC",JX,Hercules Transit Center - El Cerrito del Norte BART,"",3,"http://www.westcat.org/schedules/routeJPXcs.html","ce413d","000000"
"11","WC",11,Crockett - Rodeo - Hercules,"",3,"http://www.westcat.org/schedules/route11cs.html","916085","ffffff"
"18","WC",18,Tara Hills - Richmond Parkway Transit Center - Hilltop Mall,"",3,"http://www.westcat.org/schedules/route18cs.html","4badad","ffffff"
"10","WC",10,Gems and Birds,"",3,"http://www.westcat.org/schedules/route10.html","f8c650","000000"
"16","WC",16,Pinole Valley - Old Town Pinole - Richmond Parkway Transit Center,"",3,"http://www.westcat.org/schedules/route16cs.html","6c8fb8","000000"
"JR","WC",JR,Hercules Transit Center - Pinole - Richmond - BART,"",3,"http://www.westcat.org/schedules/routeJcs.html","ce413d","000000"
"Lynx","WC",Lynx,Rodeo/Hercules/San Francisco Transbay Terminal,"",3,"http://www.westcat.org/schedules/routeLYNXcs.html","74262b","ffffff"
"15","WC",15,Rodeo - Hercules (Viewpointe/North Shore Business Park),"",3,"http://www.westcat.org/schedules/route15cs.html","4b9168","ffffff"
"17","WC",17,BayView - Richmond Parkway Transit Center,"",3,"http://www.westcat.org/schedules/route17cs.html","9d8176","ffffff"
"19","WC",19,Hercules - Pinole - Richmond Parkway Transit Center - Hilltop Mall,"",3,"http://www.westcat.org/schedules/route19cs.html","695b93","ffffff"
"C3","WC",C3,Hercules Transit Center - Pinole - Contra Costa College,"",3,"http://www.westcat.org/schedules/routeC3cs.html","183958","ffffff"
"JPX","WC",JPX,Hercules Transit Center - El Cerrito del Norte BART,"",3,"http://www.westcat.org/schedules/routeJPXcs.html","ce413d","000000"
"12","WC",12,Trees and Flowers,"",3,"http://www.westcat.org/schedules/route12cs.html","789367","000000"
