trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"t_15557_b_823_tn_0","6:30:00","6:30:00","25501","1",,"0","0","0.00000000",1
"t_15557_b_823_tn_0",,,25124,2,,"0","0",,0
"t_15557_b_823_tn_0","6:45:00","6:45:00","2158","3",,"0","0","16216.35903459",1
"t_15557_b_823_tn_0",,,25204,4,,"0","0",,0
"t_15557_b_823_tn_0",,,25128,5,,"0","0",,0
"t_15557_b_823_tn_0",,,25129,6,,"0","0",,0
"t_15557_b_823_tn_0",,,25130,7,,"0","0",,0
"t_15557_b_823_tn_0","6:51:00","6:51:00","2159","8",,"0","0","19690.20998078",1
"t_15557_b_823_tn_0",,,25131,9,,"0","0",,0
"t_15557_b_823_tn_0",,,25205,10,,"0","0",,0
"t_15557_b_823_tn_0",,,25133,11,,"0","0",,0
"t_15557_b_823_tn_0","6:55:00","6:55:00","2161","12",,"0","0","21728.03826095",1
"t_15557_b_823_tn_0","6:57:00","6:57:00","2162","13",,"0","0","22196.96091237",1
"t_15458_b_823_tn_0","7:00:00","7:00:00","25501","1",,"0","0","0.00000000",1
"t_15458_b_823_tn_0",,,25124,2,,"0","0",,0
"t_15458_b_823_tn_0","7:15:00","7:15:00","2158","3",,"0","0","16216.35903459",1
"t_15458_b_823_tn_0",,,25204,4,,"0","0",,0
"t_15458_b_823_tn_0",,,25128,5,,"0","0",,0
"t_15458_b_823_tn_0",,,25129,6,,"0","0",,0
"t_15458_b_823_tn_0",,,25130,7,,"0","0",,0
"t_15458_b_823_tn_0","7:21:00","7:21:00","2159","8",,"0","0","19690.20998078",1
"t_15458_b_823_tn_0",,,25131,9,,"0","0",,0
"t_15458_b_823_tn_0",,,25205,10,,"0","0",,0
"t_15458_b_823_tn_0",,,25133,11,,"0","0",,0
"t_15458_b_823_tn_0","7:25:00","7:25:00","2161","12",,"0","0","21728.03826095",1
"t_15458_b_823_tn_0","7:27:00","7:27:00","2162","13",,"0","0","22196.96091237",1
"t_15459_b_823_tn_0","7:30:00","7:30:00","25501","1",,"0","0","0.00000000",1
"t_15459_b_823_tn_0",,,25124,2,,"0","0",,0
"t_15459_b_823_tn_0","7:45:00","7:45:00","2158","3",,"0","0","16216.35903459",1
"t_15459_b_823_tn_0",,,25204,4,,"0","0",,0
"t_15459_b_823_tn_0",,,25128,5,,"0","0",,0
"t_15459_b_823_tn_0",,,25129,6,,"0","0",,0
"t_15459_b_823_tn_0",,,25130,7,,"0","0",,0
"t_15459_b_823_tn_0","7:51:00","7:51:00","2159","8",,"0","0","19690.20998078",1
"t_15459_b_823_tn_0",,,25131,9,,"0","0",,0
"t_15459_b_823_tn_0",,,25205,10,,"0","0",,0
"t_15459_b_823_tn_0",,,25133,11,,"0","0",,0
"t_15459_b_823_tn_0","7:55:00","7:55:00","2161","12",,"0","0","21728.03826095",1
"t_15459_b_823_tn_0","7:57:00","7:57:00","2162","13",,"0","0","22196.96091237",1
"t_15460_b_823_tn_0","8:00:00","8:00:00","25501","1",,"0","0","0.00000000",1
"t_15460_b_823_tn_0",,,25124,2,,"0","0",,0
"t_15460_b_823_tn_0","8:15:00","8:15:00","2158","3",,"0","0","16216.35903459",1
"t_15460_b_823_tn_0",,,25204,4,,"0","0",,0
"t_15460_b_823_tn_0",,,25128,5,,"0","0",,0
"t_15460_b_823_tn_0",,,25129,6,,"0","0",,0
"t_15460_b_823_tn_0",,,25130,7,,"0","0",,0
"t_15460_b_823_tn_0","8:21:00","8:21:00","2159","8",,"0","0","19690.20998078",1
"t_15460_b_823_tn_0",,,25131,9,,"0","0",,0
"t_15460_b_823_tn_0",,,25205,10,,"0","0",,0
"t_15460_b_823_tn_0",,,25133,11,,"0","0",,0
"t_15460_b_823_tn_0","8:25:00","8:25:00","2161","12",,"0","0","21728.03826095",1
"t_15460_b_823_tn_0","8:27:00","8:27:00","2162","13",,"0","0","22196.96091237",1
"t_15541_b_823_tn_0","8:30:00","8:30:00","25501","1",,"0","0","0.00000000",1
"t_15541_b_823_tn_0",,,25124,2,,"0","0",,0
"t_15541_b_823_tn_0","8:45:00","8:45:00","2158","3",,"0","0","16216.35903459",1
"t_15541_b_823_tn_0",,,25204,4,,"0","0",,0
"t_15541_b_823_tn_0",,,25128,5,,"0","0",,0
"t_15541_b_823_tn_0",,,25129,6,,"0","0",,0
"t_15541_b_823_tn_0",,,25130,7,,"0","0",,0
"t_15541_b_823_tn_0","8:51:00","8:51:00","2159","8",,"0","0","19690.20998078",1
"t_15541_b_823_tn_0",,,25131,9,,"0","0",,0
"t_15541_b_823_tn_0",,,25205,10,,"0","0",,0
"t_15541_b_823_tn_0",,,25133,11,,"0","0",,0
"t_15541_b_823_tn_0","8:55:00","8:55:00","2161","12",,"0","0","21728.03826095",1
"t_15541_b_823_tn_0","8:57:00","8:57:00","2162","13",,"0","0","22196.96091237",1
"t_15542_b_823_tn_0","9:30:00","9:30:00","25501","1",,"0","0","0.00000000",1
"t_15542_b_823_tn_0",,,25124,2,,"0","0",,0
"t_15542_b_823_tn_0","9:45:00","9:45:00","2158","3",,"0","0","16216.35903459",1
"t_15542_b_823_tn_0",,,25204,4,,"0","0",,0
"t_15542_b_823_tn_0",,,25128,5,,"0","0",,0
"t_15542_b_823_tn_0",,,25129,6,,"0","0",,0
"t_15542_b_823_tn_0",,,25130,7,,"0","0",,0
"t_15542_b_823_tn_0","9:51:00","9:51:00","2159","8",,"0","0","19690.20998078",1
"t_15542_b_823_tn_0",,,25131,9,,"0","0",,0
"t_15542_b_823_tn_0",,,25205,10,,"0","0",,0
"t_15542_b_823_tn_0",,,25133,11,,"0","0",,0
"t_15542_b_823_tn_0","9:55:00","9:55:00","2161","12",,"0","0","21728.03826095",1
"t_15542_b_823_tn_0","9:57:00","9:57:00","2162","13",,"0","0","22196.96091237",1
"t_15461_b_823_tn_0","10:25:00","10:25:00","25501","1",,"0","0","0.00000000",1
"t_15461_b_823_tn_0",,,25124,2,,"0","0",,0
"t_15461_b_823_tn_0","10:40:00","10:40:00","2158","3",,"0","0","16216.35903459",1
"t_15461_b_823_tn_0",,,25204,4,,"0","0",,0
"t_15461_b_823_tn_0",,,25128,5,,"0","0",,0
"t_15461_b_823_tn_0",,,25129,6,,"0","0",,0
"t_15461_b_823_tn_0",,,25130,7,,"0","0",,0
"t_15461_b_823_tn_0","10:46:00","10:46:00","2159","8",,"0","0","19690.20998078",1
"t_15461_b_823_tn_0",,,25131,9,,"0","0",,0
"t_15461_b_823_tn_0",,,25205,10,,"0","0",,0
"t_15461_b_823_tn_0",,,25133,11,,"0","0",,0
"t_15461_b_823_tn_0","10:50:00","10:50:00","2161","12",,"0","0","21728.03826095",1
"t_15461_b_823_tn_0","10:52:00","10:52:00","2162","13",,"0","0","22196.96091237",1
"t_15462_b_823_tn_0","11:40:00","11:40:00","25501","1",,"0","0","0.00000000",1
"t_15462_b_823_tn_0",,,25124,2,,"0","0",,0
"t_15462_b_823_tn_0","11:55:00","11:55:00","2158","3",,"0","0","16216.35903459",1
"t_15462_b_823_tn_0",,,25204,4,,"0","0",,0
"t_15462_b_823_tn_0",,,25128,5,,"0","0",,0
"t_15462_b_823_tn_0",,,25129,6,,"0","0",,0
"t_15462_b_823_tn_0",,,25130,7,,"0","0",,0
"t_15462_b_823_tn_0","12:01:00","12:01:00","2159","8",,"0","0","19690.20998078",1
"t_15462_b_823_tn_0",,,25131,9,,"0","0",,0
"t_15462_b_823_tn_0",,,25205,10,,"0","0",,0
"t_15462_b_823_tn_0",,,25133,11,,"0","0",,0
"t_15462_b_823_tn_0","12:05:00","12:05:00","2161","12",,"0","0","21728.03826095",1
"t_15462_b_823_tn_0","12:07:00","12:07:00","2162","13",,"0","0","22196.96091237",1
"t_16257_b_823_tn_0","12:40:00","12:40:00","25501","1",,"0","0","0.00000000",1
