stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"263","263",1236 Marionola Way,37.99891,-122.29553,,"","","0","","America/Los_Angeles","0"
"25215","25215",1624 Marlesta Rd,38.0018,-122.29913,,"","","0","","America/Los_Angeles","0"
"25136","25136",2450 Alhambra Ave - Martinez Health Center,38.00582,-122.13118,,"","","0","","America/Los_Angeles","0"
"25013","25013",2nd St and Parker Ave,38.0358515497,-122.2676307583,,"","","0","","America/Los_Angeles","0"
"25555","25555",2nd St and Wanda St,38.05362,-122.22361,,"","","0","","America/Los_Angeles","0"
"25509","25509",386 Parker Ave,38.0331265502,-122.2672423608,,"","","0","","America/Los_Angeles","0"
"25141","25141",4050 Lakeside Ave,37.98741,-122.33223,,"","","0","","America/Los_Angeles","0"
"25140","25140",4075 Lakeside Ave,37.9874595783,-122.3324106397,,"","","0","","America/Los_Angeles","0"
"25071","25071",454 Falcon Way,37.99663,-122.25204,,"","","0","","America/Los_Angeles","0"
"25510","25510",586 Parker Ave,38.0299421279,-122.2664853969,,"","","0","","America/Los_Angeles","0"
"25150","25150",7th St and Parker Ave,38.02714,-122.26564,,"","","0","","America/Los_Angeles","0"
"25208","25208",825 Alfred Nobel Dr at Mechanics Bank,38.02054,-122.27587,,"","","0","","America/Los_Angeles","0"
"25036","25036",Alfred Nobel and John Muir Pkwy,38.01788,-122.27432,,"","","0","","America/Los_Angeles","0"
"25307","25307",Alfred Nobel Dr - Near Venture Commerce Ctr,38.02033,-122.27524,,"","","0","","America/Los_Angeles","0"
"25131","25131",Alhambra Ave and Bertola St,38.00726,-122.13052,,"","","0","","America/Los_Angeles","0"
"2159","2159",Alhambra Ave and C Street - County Hospital,38.00497,-122.13095,,"","","0","","America/Los_Angeles","0"
"25137","25137",Alhambra Ave and F St,38.00087,-122.13195,,"","","0","","America/Los_Angeles","0"
"25130","25130",Alhambra Ave and G St,37.99999,-122.13176,,"","","0","","America/Los_Angeles","0"
"25205","25205",Alhambra Ave and Jones St,38.01266,-122.13447,,"","","0","","America/Los_Angeles","0"
"25138","25138",Alhambra Ave and J St,37.9973666845,-122.1324932207,,"","","0","","America/Los_Angeles","0"
"25129","25129",Alhambra Ave and K St,37.99584,-122.13225,,"","","0","","America/Los_Angeles","0"
"25133","25133",Alhambra Ave and Main St,38.0163263394,-122.1380085129,,"","","0","","America/Los_Angeles","0"
"25128","25128",Alhambra Ave and Walnut St - Northbound,37.99239,-122.13058,,"","","0","","America/Los_Angeles","0"
"25212","25212",Alhambra Ave and Walnut St - Southbound,37.99236,-122.13092,,"","","0","","America/Los_Angeles","0"
"25139","25139",Alhambra Ave - Muir Lodge,37.99539,-122.13218,,"","","0","","America/Los_Angeles","0"
"270","270",Appian Way and Mann Dr,37.99746,-122.3011,,"","","0","","America/Los_Angeles","0"
"275","275",Appian Way - Pinole Middle School,37.99626,-122.30218,,"","","0","","America/Los_Angeles","0"
"25052","25052",Armstrong St and Grissom St,38.00074,-122.23788,,"","","0","","America/Los_Angeles","0"
"25135","25135",Berrellesa St and Jones St,38.01178,-122.13508,,"","","0","","America/Los_Angeles","0"
"2129","2129",Bio Rad - Northbound,38.02303,-122.27646,,"","","0","","America/Los_Angeles","0"
"25203","25203",Blume Dr and Auto Plaza - Northbound,37.9830487631,-122.3222286654,,"","","0","","America/Los_Angeles","0"
"25009","25009",Blume Dr and Auto Plaza - Southbound,37.9851,-122.31903,,"","","0","","America/Los_Angeles","0"
"25075","25075",Blume Dr and Klose Way,37.9826333925,-122.3227715292,,"","","0","","America/Los_Angeles","0"
"25083","25083",Blume Dr and Klose Way - Hilltop Mall Sign,37.9847410368,-122.3189916796,,"","","0","","America/Los_Angeles","0"
"25049","25049",Bonaire Ave and Refugio Valley Rd,37.99313,-122.2305,,"","","0","","America/Los_Angeles","0"
"273","273",Broadmore Ave and Cypress Ave,38.00548,-122.32175,,"","","0","","America/Los_Angeles","0"
"250","250",Canyon Dr and Appian Way - Eastbound,37.99528,-122.30135,,"","","0","","America/Los_Angeles","0"
"21064","21064",Canyon Dr and Appian Way - Westbound,37.99553,-122.30141,,"","","0","","America/Los_Angeles","0"
"2197","2197",Carson St and Raleigh Ct,37.99476,-122.23644,,"","","0","","America/Los_Angeles","0"
"25051","25051",Carson St and Stanley Ct,37.998,-122.23765,,"","","0","","America/Los_Angeles","0"
"25062","25062",Cinnabar Way and Obsidan Way,38.00424,-122.27588,,"","","0","","America/Los_Angeles","0"
"25550","25550",Contra Costa College - Campus Dr Turnaround,37.97094,-122.34062,,"","","0","","America/Los_Angeles","0"
"25100","25100",Coral Dr and Bodega Way,38.01849,-122.25417,,"","","0","","America/Los_Angeles","0"
"25099","25099",Coral Dr and Reef Point Dr,38.02105,-122.25103,,"","","0","","America/Los_Angeles","0"
"25098","25098",Coral Dr and Sandpoint Dr,38.02317,-122.25012,,"","","0","","America/Los_Angeles","0"
"242","242",Coral Dr and Stirling Dr,38.0256,-122.2466,,"","","0","","America/Los_Angeles","0"
"2198","2198",Coronado St and Carson St,37.99953,-122.23893,,"","","0","","America/Los_Angeles","0"
"25209","25209",Coronado St and Decatur,37.9978,-122.24373,,"","","0","","America/Los_Angeles","0"
"25210","25210",Coronado St and Refugio Valley,37.9960335402,-122.245539699,,"","","0","","America/Los_Angeles","0"
"2161","2161",Court St and Marina Vista Ave,38.0194305179,-122.1351620111,,"","","0","","America/Los_Angeles","0"
"25088","25088",Cypress Ave and Del Monte Dr,38.0084252395,-122.3140598195,,"","","0","","America/Los_Angeles","0"
"25087","25087",Cypress Ave and Meadowlark St,38.00713,-122.3191,,"","","0","","America/Los_Angeles","0"
"25086","25086",Del Monte Dr and Highlands Rd,38.00484,-122.31846,,"","","0","","America/Los_Angeles","0"
"272","272",Del Monte Dr and San Pablo Ave,38.0032471803,-122.3164855883,,"","","0","","America/Los_Angeles","0"
"257","257",Doidge Ave and Wright Ave,37.98357,-122.25118,,"","","0","","America/Los_Angeles","0"
"25079","25079",Dolan Way and Mahan Way,37.99317,-122.32064,,"","","0","","America/Los_Angeles","0"
"2131","2131",El Cerrito Del Norte BART,37.92478,-122.31696,,"","","0","","America/Los_Angeles","0"
"25115","25115",Ellerhorst School,37.9814,-122.27321,,"","","0","","America/Los_Angeles","0"
"25069","25069",Falcon Way and Finch Ct,37.99919,-122.2582,,"","","0","","America/Los_Angeles","0"
"25072","25072",Falcon Way and Refugio Valley,37.9965,-122.24848,,"","","0","","America/Los_Angeles","0"
"233","233",Falcon Way and Sparrow Dr,38.0005753783,-122.2621820746,,"","","0","","America/Los_Angeles","0"
"25070","25070",Falcon Way and Wren Ct,37.99804,-122.25626,,"","","0","","America/Los_Angeles","0"
"25003","25003",Fitzgerald Dr - Applebees,37.98818,-122.31139,,"","","0","","America/Los_Angeles","0"
"248","248",Fitzgerald Dr - Best Buy,37.99095,-122.3058,,"","","0","","America/Los_Angeles","0"
"25002","25002",Fitzgerald Dr - FedEx,37.99114,-122.30622,,"","","0","","America/Los_Angeles","0"
"265","265",Fitzgerald Dr - Sizzler,37.99175,-122.30384,,"","","0","","America/Los_Angeles","0"
"249","249",Fitzgerald Dr - Starbucks,37.99156,-122.30286,,"","","0","","America/Los_Angeles","0"
"25041","25041",Fitzgerald Dr - Target,37.98837,-122.31064,,"","","0","","America/Los_Angeles","0"
"25053","25053",Grissom St and Shepard St,37.99982,-122.24112,,"","","0","","America/Los_Angeles","0"
"25048","25048",Hannah Ranch School,37.99333,-122.23502,,"","","0","","America/Los_Angeles","0"
"2174","2174",Hercules Middle and High School,37.9996,-122.25161,,"","","0","","America/Los_Angeles","0"
"25501","25501",Hercules Transit Center,38.0128,-122.2662,,"","","0","","America/Los_Angeles","0"
"25008","25008",Hilltop Dr and Garrity Way,37.9785856766,-122.3259336222,,"","","0","","America/Los_Angeles","0"
"25157","25157",Hilltop Dr and Hillview Dr,37.98307,-122.33344,,"","","0","","America/Los_Angeles","0"
"25006","25006",Hilltop Dr and Robert Miller Dr,37.9792639878,-122.3321826085,,"","","0","","America/Los_Angeles","0"
"25007","25007",Hilltop Dr and Shane Dr,37.9781947587,-122.329921333,,"","","0","","America/Los_Angeles","0"
"293","293",Hilltop Mall - Westbound,37.9817178666,-122.3269763853,,"","","0","","America/Los_Angeles","0"
"25081","25081",Hillview Dr and Hilltop Dr,37.982357969,-122.3330040639,,"","","0","","America/Los_Angeles","0"
"25506","25506",John Swett High School,38.05239,-122.22073,,"","","0","","America/Los_Angeles","0"
"25147","25147",Lakeside Dr and Research Dr,37.98488,-122.33287,,"","","0","","America/Los_Angeles","0"
"246","246",Linus Pauling and Alfred Nobel,38.0228546205,-122.2762539555,,"","","0","","America/Los_Angeles","0"
"25039","25039",Linus Pauling - County EHS,38.02182,-122.27259,,"","","0","","America/Los_Angeles","0"
"245","245",Linus Pauling - Social Services,38.02211,-122.27247,,"","","0","","America/Los_Angeles","0"
"25018","25018",Loring Ave and Rolph Ave,38.05572,-122.22011,,"","","0","","America/Los_Angeles","0"
"25057","25057",Lupine Rd and Poppy Ct,38.00735,-122.2558,,"","","0","","America/Los_Angeles","0"
"2208","2208",Lupine Rd and Woodfield Park,38.00636,-122.25189,,"","","0","","America/Los_Angeles","0"
"2196","2196",Mandalay Ave and Bonaire Ave,37.99155,-122.23394,,"","","0","","America/Los_Angeles","0"
"25112","25112",Marcus Ct and Doidge Ave,37.98269,-122.25318,,"","","0","","America/Los_Angeles","0"
"251","251",Marionola Way and Marlesta Rd - Northbound,38.001748089,-122.2969952635,,"","","0","","America/Los_Angeles","0"
"262","262",Marionola Way near Marlesta Rd,38.00156,-122.29712,,"","","0","","America/Los_Angeles","0"
"25214","25214",Marlesta Rd and Appian Way - SE Corner,38.00168,-122.29914,,"","","0","","America/Los_Angeles","0"
"25084","25084",Marlesta Rd and Appian Way - SW Corner,38.0016,-122.29964,,"","","0","","America/Los_Angeles","0"
"25201","25201",Marlesta Rd and Appian Way - Westbound Rt 16,38.00179,-122.30095,,"","","0","","America/Los_Angeles","0"
