route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
580X,72989,557208,,0,103748,35774,,0,0
580X,73738,557224,,0,103752,35774,,0,0
580X,72989,557209,,0,103844,35774,,0,0
580X,73738,557225,,0,103846,35774,,0,0
580X,72989,557210,,0,103844,35774,,0,0
580X,73738,557226,,0,103846,35774,,0,0
580X,72989,557211,,0,103845,35773,,0,0
580X,73738,557227,,0,103847,35773,,0,0
580X,72989,557214,,0,103750,35773,,0,0
580X,73738,557230,,0,103754,35773,,0,0
580X,72989,557212,,0,103845,35773,,0,0
580X,73738,557228,,0,103847,35773,,0,0
580X,72989,557215,,0,103751,35773,,0,0
580X,73738,557231,,0,103755,35773,,0,0
580X,72989,557213,,0,103845,35773,,0,0
580X,73738,557229,,0,103847,35773,,0,0
580X,72989,557216,,1,103748,35775,,0,0
580X,73738,557232,,1,103752,35775,,0,0
580X,72989,557219,,1,103844,35775,,0,0
580X,73738,557235,,1,103846,35775,,0,0
580X,72989,557220,,1,103748,35775,,0,0
580X,73738,557236,,1,103752,35775,,0,0
580X,72989,557218,,1,103844,35776,,0,0
580X,73738,557234,,1,103846,35776,,0,0
580X,72989,557217,,1,103749,35776,,0,0
580X,73738,557233,,1,103753,35776,,0,0
580X,72989,557221,,1,103845,35775,,0,0
580X,73738,557237,,1,103847,35775,,0,0
580X,72989,557222,,1,103845,35775,,0,0
580X,73738,557238,,1,103847,35775,,0,0
580X,72989,557223,,1,103845,35775,,0,0
580X,73738,557239,,1,103847,35775,,0,0
54,72989,557193,AF,0,103838,35769,,0,0
54,73738,557198,AF,0,103840,35769,,0,0
54,72989,557194,,0,103838,35770,,0,0
54,73738,557199,,0,103840,35770,,0,0
54,72989,557195,AF,1,103839,35771,,0,0
54,73738,557200,AF,1,103841,35771,,0,0
54,72989,557196,C5,1,103839,35772,,0,0
54,73738,557201,C5,1,103841,35772,,0,0
54,72989,557197,C5,1,103839,35772,,0,0
54,73738,557202,C5,1,103841,35772,,0,0
2,72989,556466,,0,103744,35735,,0,0
2,73738,556482,,0,103746,35735,,0,0
2,72989,556467,,0,103745,35736,,0,0
2,73738,556481,,0,103747,35736,,0,0
2,72989,556468,,0,103745,35736,,0,0
2,73738,556480,,0,103747,35736,,0,0
2,72989,556469,,0,103745,35736,,0,0
2,73738,556479,,0,103747,35736,,0,0
2,73738,556474,,0,103746,35736,,0,0
2,72989,556470,,0,103744,35736,,0,0
2,73738,556478,,0,103746,35736,,0,0
2,72989,556471,,0,103744,35736,,0,0
2,73738,556477,,0,103746,35736,,0,0
2,72989,556473,,0,103744,35736,,0,0
2,73738,556476,,0,103746,35736,,0,0
2,73738,556475,,0,103746,35734,,0,0
2,72989,556472,,0,103744,35734,,0,0
8,72989,557341,,0,103758,35806,,0,0
8,73738,557389,,0,103767,35806,,0,0
8,72989,557340,,0,103759,35806,,0,0
8,73738,557388,,0,103768,35806,,0,0
8,72989,557339,,0,103692,35806,,0,0
8,73738,557387,,0,103707,35806,,0,0
8,72989,557338,,0,103757,35806,,0,0
8,73738,557386,,0,103766,35806,,0,0
8,72991,557367,,0,103764,35806,,0,0
8,72990,557354,,0,103762,35806,,0,0
8,72989,557337,,0,103758,35806,,0,0
8,73738,557385,,0,103767,35806,,0,0
8,73738,557384,,0,103768,35806,,0,0
8,72989,557336,,0,103759,35806,,0,0
8,72991,557366,,0,103763,35806,,0,0
8,72990,557353,,0,103761,35806,,0,0
8,72989,557335,,0,103692,35806,,0,0
8,73738,557383,,0,103707,35806,,0,0
8,72991,557365,,0,103763,35806,,0,0
8,72990,557352,,0,103761,35806,,0,0
8,72989,557334,,0,103758,35806,,0,0
8,73738,557382,,0,103767,35806,,0,0
8,72990,557351,,0,103762,35806,,0,0
8,72991,557364,,0,103764,35806,,0,0
8,72989,557333,,0,103692,35806,,0,0
8,73738,557381,,0,103707,35806,,0,0
8,72990,557350,,0,103762,35806,,0,0
8,72991,557363,,0,103764,35806,,0,0
8,72989,557332,,0,103758,35806,,0,0
8,73738,557380,,0,103767,35806,,0,0
8,72991,557362,,0,103763,35806,,0,0
8,72990,557349,,0,103761,35806,,0,0
8,73738,557379,,0,103707,35806,,0,0
8,72989,557331,,0,103692,35806,,0,0
8,72990,557348,,0,103761,35806,,0,0
8,72991,557361,,0,103763,35806,,0,0
8,72989,557330,,0,103758,35806,,0,0
8,73738,557378,,0,103767,35806,,0,0
8,72990,557347,,0,103762,35806,,0,0
8,72991,557360,,0,103764,35806,,0,0
8,72989,557329,,0,103692,35806,,0,0
8,73738,557377,,0,103707,35806,,0,0
8,73738,557370,,0,103765,35806,,0,0
8,72989,557322,,0,103756,35806,,0,0
8,72990,557346,,0,103762,35806,,0,0
8,72991,557359,,0,103764,35806,,0,0
8,73738,557376,,0,103767,35806,,0,0
8,72989,557328,,0,103758,35806,,0,0
8,73738,557375,,0,103769,35806,,0,0
8,72989,557327,,0,103760,35806,,0,0
8,72991,557358,,0,103763,35806,,0,0
8,72990,557345,,0,103761,35806,,0,0
8,72989,557326,,0,103692,35806,,0,0
8,73738,557374,,0,103707,35806,,0,0
8,73738,557373,,0,103765,35806,,0,0
8,72989,557325,,0,103756,35806,,0,0
8,72991,557357,,0,103763,35806,,0,0
8,72990,557344,,0,103761,35806,,0,0
8,72989,557324,,0,103758,35806,,0,0
8,73738,557372,,0,103767,35806,,0,0
8,73738,557371,,0,103769,35806,,0,0
8,72989,557323,,0,103760,35806,,0,0
8,72991,557356,,0,103764,35806,,0,0
8,72990,557343,,0,103762,35806,,0,0
8,73738,557368,,0,103707,35806,,0,0
8,72989,557320,,0,103692,35806,,0,0
8,72990,557342,,0,103762,35806,,0,0
8,72991,557355,,0,103764,35806,,0,0
8,72989,557321,,0,103758,35806,,0,0
